iDSP-Miner alpha 20 beta 0 maxGap 3 minGap 1 .dblp3IR100.txt .dblp3DM100.txt
Time Cost of Build Draft Index: 77
Time cost of updateAllFollowSet: 448 ms
Time cost of remove Impossible: 17 ms
Time Cost of Build Draft Index: 167
Time cost of updateAllFollowSet: 2752 ms
Alphabet: 2647
Size of Start-elements:107
Size of Follow-elements:0
AVG size of follow-set:0.0
Time Cost of Indexer Construction: 3734 ms.
Time Cost of Generate Pos:2279
Time Cost of Minimum:297
Time Cost of Merging Patterns:379
Try : 0
Time of generate patterns: 2955 ms.
Total Time cost: 6689 ms.
--- Results: ----------------------------------------------
Patterns Size: 789
*  <closed: {SIGIR, RIAO, }  generators: {RIAO, }{SIGIR, }> SUP_IN_POS:32 SUP_IN_NEG:0
*  <closed: {Inf. Retr., ACM Trans. Inf. Syst., }  generators: {ACM Trans. Inf. Syst., }{Inf. Retr., }> SUP_IN_POS:23 SUP_IN_NEG:0
*  <closed: {JASIST, SIGIR Forum, }  generators: {JASIST, }{SIGIR Forum, }> SUP_IN_POS:21 SUP_IN_NEG:0
*  <closed: {Inf. Process. Manage., ACM Trans. Inf. Syst., }  generators: {ACM Trans. Inf. Syst., }{Inf. Process. Manage., }> SUP_IN_POS:25 SUP_IN_NEG:0
*  <closed: {TREC, RIAO, }  generators: {RIAO, }{TREC, }> SUP_IN_POS:23 SUP_IN_NEG:0
*  <closed: {JASIST, ECIR, }  generators: {JASIST, }{ECIR, }> SUP_IN_POS:23 SUP_IN_NEG:0
*  <closed: {SIGIR Forum, ACM Trans. Inf. Syst., }  generators: {ACM Trans. Inf. Syst., }{SIGIR Forum, }> SUP_IN_POS:24 SUP_IN_NEG:0
*  <closed: {Inf. Process. Manage., Inf. Retr., }  generators: {Inf. Process. Manage., }{Inf. Retr., }> SUP_IN_POS:22 SUP_IN_NEG:0
*  <closed: {ECIR, ACM Trans. Inf. Syst., }  generators: {ACM Trans. Inf. Syst., }{ECIR, }> SUP_IN_POS:22 SUP_IN_NEG:0
*  <closed: {SIGIR Forum, CLEF, }  generators: {CLEF, }{SIGIR Forum, }> SUP_IN_POS:23 SUP_IN_NEG:0
*  <closed: {TREC, SIGIR, Inf. Process. Manage., }  generators: {SIGIR, Inf. Process. Manage., }{TREC, SIGIR, }> SUP_IN_POS:30 SUP_IN_NEG:0
*  <closed: {SIGIR, Inf. Retr., ECIR, }  generators: {SIGIR, Inf. Retr., }{SIGIR, ECIR, }> SUP_IN_POS:26 SUP_IN_NEG:0
*  <closed: {SIGIR, CIKM, SIGIR Forum, ECIR, }  generators: {SIGIR, CIKM, SIGIR Forum, }{SIGIR, CIKM, ECIR, }> SUP_IN_POS:21 SUP_IN_NEG:0
*  <closed: {TREC, SIGIR, ECIR, }  generators: {SIGIR, ECIR, }{TREC, SIGIR, }> SUP_IN_POS:30 SUP_IN_NEG:0
*  <closed: {TREC, SIGIR, Inf. Retr., }  generators: {SIGIR, Inf. Retr., }{TREC, SIGIR, }> SUP_IN_POS:29 SUP_IN_NEG:0
*  <closed: {TREC, SIGIR, SIGIR Forum, }  generators: {SIGIR, SIGIR Forum, }{TREC, SIGIR, }> SUP_IN_POS:33 SUP_IN_NEG:0
*  <closed: {SIGIR, Inf. Retr., SIGIR Forum, }  generators: {SIGIR, SIGIR Forum, }{SIGIR, Inf. Retr., }> SUP_IN_POS:23 SUP_IN_NEG:0
*  <closed: {SIGIR, IIiX, }  generators: {SIGIR, }> SUP_IN_POS:24 SUP_IN_NEG:0
*  <closed: {SIGIR, Inf. Process. Manage., SIGIR Forum, }  generators: {SIGIR, SIGIR Forum, }{SIGIR, Inf. Process. Manage., }> SUP_IN_POS:25 SUP_IN_NEG:0
*  <closed: {TREC, CLEF, CLEF (Working Notes), }  generators: {CLEF, CLEF (Working Notes), }{TREC, }> SUP_IN_POS:23 SUP_IN_NEG:0
*  <closed: {TREC, SIGIR, ACM Trans. Inf. Syst., }  generators: {SIGIR, ACM Trans. Inf. Syst., }{TREC, SIGIR, }> SUP_IN_POS:20 SUP_IN_NEG:0
*  <closed: {SIGIR, ICTIR, }  generators: {SIGIR, }> SUP_IN_POS:21 SUP_IN_NEG:0
*  <closed: {TREC, }  generators: > <closed: {Inf. Process. Manage., CIKM, }  generators: {CIKM, }{Inf. Process. Manage., }> SUP_IN_POS:21 SUP_IN_NEG:0
*  <closed: {TREC, CIKM, }  generators: {CIKM, }{TREC, }> <closed: {ACM Trans. Inf. Syst., }  generators: > SUP_IN_POS:21 SUP_IN_NEG:0
*  <closed: {TREC, CIKM, }  generators: {CIKM, }{TREC, }> <closed: {JASIST, }  generators: > SUP_IN_POS:20 SUP_IN_NEG:0
*  <closed: {SIGIR, Inf. Process. Manage., }  generators: {Inf. Process. Manage., }{SIGIR, }> <closed: {JASIST, }  generators: > SUP_IN_POS:21 SUP_IN_NEG:0
*  <closed: {Inf. Process. Manage., }  generators: > <closed: {JASIS, }  generators: > SUP_IN_POS:26 SUP_IN_NEG:0
*  <closed: {Inf. Process. Manage., }  generators: > <closed: {SIGIR, JASIST, }  generators: {JASIST, }{SIGIR, }> SUP_IN_POS:24 SUP_IN_NEG:0
*  <closed: {SIGIR, SIGIR Forum, }  generators: {SIGIR, }{SIGIR Forum, }> <closed: {WSDM, }  generators: > SUP_IN_POS:20 SUP_IN_NEG:0
*  <closed: {SIGIR, JASIST, }  generators: {JASIST, }{SIGIR, }> <closed: {ACM Trans. Inf. Syst., }  generators: > SUP_IN_POS:20 SUP_IN_NEG:0
*  <closed: {SIGIR, JASIST, }  generators: {JASIST, }{SIGIR, }> <closed: {Inf. Process. Manage., }  generators: > SUP_IN_POS:22 SUP_IN_NEG:0
*  <closed: {RIAO, }  generators: > <closed: {ACM Trans. Inf. Syst., }  generators: > SUP_IN_POS:21 SUP_IN_NEG:0
*  <closed: {RIAO, }  generators: > <closed: {Inf. Process. Manage., }  generators: > SUP_IN_POS:25 SUP_IN_NEG:0
*  <closed: {Inf. Retr., }  generators: > <closed: {JASIST, }  generators: > SUP_IN_POS:25 SUP_IN_NEG:0
*  <closed: {Inf. Retr., }  generators: > <closed: {Inf. Process. Manage., }  generators: > SUP_IN_POS:24 SUP_IN_NEG:0
*  <closed: {Inf. Retr., }  generators: > <closed: {CLEF, }  generators: > SUP_IN_POS:20 SUP_IN_NEG:0
*  <closed: {Inf. Retr., }  generators: > <closed: {CLEF (Working Notes), }  generators: > SUP_IN_POS:21 SUP_IN_NEG:0
*  <closed: {SPIRE, }  generators: > <closed: {ECIR, }  generators: > SUP_IN_POS:20 SUP_IN_NEG:0
*  <closed: {ACM Trans. Inf. Syst., }  generators: > <closed: {Inf. Retr., }  generators: > SUP_IN_POS:27 SUP_IN_NEG:0
*  <closed: {JASIST, }  generators: > <closed: {Inf. Retr., }  generators: > SUP_IN_POS:26 SUP_IN_NEG:0
*  <closed: {JASIST, }  generators: > <closed: {SIGIR Forum, }  generators: > SUP_IN_POS:24 SUP_IN_NEG:0
*  <closed: {SIGIR Forum, }  generators: > <closed: {RIAO, }  generators: > SUP_IN_POS:20 SUP_IN_NEG:0
*  <closed: {SIGIR Forum, }  generators: > <closed: {CIKM, Inf. Retr., }  generators: {CIKM, }{Inf. Retr., }> SUP_IN_POS:20 SUP_IN_NEG:0
*  <closed: {SIGIR Forum, }  generators: > <closed: {CLEF (Working Notes), }  generators: > SUP_IN_POS:21 SUP_IN_NEG:0
*  <closed: {ECIR, }  generators: > <closed: {CLEF (Working Notes), }  generators: > SUP_IN_POS:20 SUP_IN_NEG:0
*  <closed: {ECIR, }  generators: > <closed: {SIGIR, CoRR, }  generators: {CoRR, }{SIGIR, }> SUP_IN_POS:20 SUP_IN_NEG:0
*  <closed: {SIGIR, ECIR, }  generators: {ECIR, }{SIGIR, }> <closed: {WSDM, }  generators: > SUP_IN_POS:21 SUP_IN_NEG:0
*  <closed: {SIGIR, ECIR, }  generators: {ECIR, }{SIGIR, }> <closed: {CoRR, }  generators: > SUP_IN_POS:24 SUP_IN_NEG:0
*  <closed: {SIGIR, ACM Trans. Inf. Syst., }  generators: {ACM Trans. Inf. Syst., }{SIGIR, }> <closed: {Inf. Process. Manage., }  generators: > SUP_IN_POS:20 SUP_IN_NEG:0
